Hhid,InstoreVisits,InstoreSpend,InstoreQuantity,OnlineVisits,OnlineSpend,OnlineQuantity,TotalVisits,TotalSpend,TotalQuantity
292581,9,478.53,56,0,0,0,9,478.53,56
293171,2,34.81,18,0,0,0,2,34.81,18
293361,118,2872.6,679,0,0,0,118,2872.6,679
293401,28,522.19,201,0,0,0,28,522.19,201
293931,2,69.26,62,0,0,0,2,69.26,62
294671,60,2238.65,1077,0,0,0,60,2238.65,1077
295791,38,1521.46,791,1,278.58,158,39,1800.04,949
296041,22,168.38,124,0,0,0,22,168.38,124
296761,31,868.53,323,0,0,0,31,868.53,323
297201,95,2357.27,1215,0,0,0,95,2357.27,1215
297351,20,1654.65,1089,0,0,0,20,1654.65,1089
297691,2,13.71,10,0,0,0,2,13.71,10
298281,60,790.3,766,0,0,0,60,790.3,766
298471,9,186.45,69,0,0,0,9,186.45,69
299101,8,278.35,146,0,0,0,8,278.35,146
301791,42,1257.29,947,0,0,0,42,1257.29,947
301981,90,530.76,515,0,0,0,90,530.76,515
302421,27,1568.5,898,0,0,0,27,1568.5,898
302801,8,331.96,167,0,0,0,8,331.96,167
303011,64,1988.18,1028,9,660.71,527,73,2648.89,1555
305591,60,3899,2268,0,0,0,60,3899,2268
305631,71,1765.23,1385,0,0,0,71,1765.23,1385
305781,2,65.78,46,0,0,0,2,65.78,46
305821,21,395.88,92,0,0,0,21,395.88,92
306561,33,995.68,549,0,0,0,33,995.68,549
307911,2,124.26,81,0,0,0,2,124.26,81
309621,12,72.04,48,0,0,0,12,72.04,48
310941,2,9.23,11,0,0,0,2,9.23,11
311341,3,23.81,18,0,0,0,3,23.81,18
311531,3,162.82,95,25,3470.01,1748,28,3632.83,1843
311911,50,2355.83,1377,9,1074.28,676,59,3430.11,2053
312991,39,174.65,120,0,0,0,39,174.65,120
315671,6,238.99,8,0,0,0,6,238.99,8
315711,13,549.44,154,0,0,0,13,549.44,154
315861,58,2324.25,653,0,0,0,58,2324.25,653
315901,27,730.1,728,0,0,0,27,730.1,728
316071,3,9.95,9,0,0,0,3,9.95,9
316261,88,3914.76,1078,0,0,0,88,3914.76,1078
316641,82,1613.38,869,0,0,0,82,1613.38,869
316791,9,324.58,220,0,0,0,9,324.58,220
316981,41,1311.69,836,0,0,0,41,1311.69,836
318731,38,1073.52,662,0,0,0,38,1073.52,662
320981,17,198.58,170,0,0,0,17,198.58,170
321231,77,2093.05,1345,0,0,0,77,2093.05,1345
322351,5,47.97,29,0,0,0,5,47.97,29
322541,9,109.11,38,0,0,0,9,109.11,38
323091,20,583.71,566,0,0,0,20,583.71,566
324591,29,2368.77,1378,14,2526.94,1435,43,4895.71,2813
326151,9,121.43,68,0,0,0,9,121.43,68
326491,13,155.35,100,0,0,0,13,155.35,100
326911,3,78.54,38,0,0,0,3,78.54,38
327081,27,1631.74,948,0,0,0,27,1631.74,948
327271,158,978.99,522,0,0,0,158,978.99,522
327501,71,3339.3,925,0,0,0,71,3339.3,925
327841,20,228.79,97,0,0,0,20,228.79,97
328961,76,1078.44,863,0,0,0,76,1078.44,863
329021,52,1781.18,968,0,0,0,52,1781.18,968
330001,46,562.74,354,0,0,0,46,562.74,354
331081,139,988.58,787,0,0,0,139,988.58,787
331651,14,380.75,141,0,0,0,14,380.75,141
332391,33,189.09,105,0,0,0,33,189.09,105
332581,15,355.13,178,0,0,0,15,355.13,178
333931,48,2267.05,964,0,0,0,48,2267.05,964
334291,36,954.35,634,0,0,0,36,954.35,634
334481,25,430.72,131,0,0,0,25,430.72,131
334671,67,2482.74,1027,0,0,0,67,2482.74,1027
336191,4,24.68,22,0,0,0,4,24.68,22
337011,3,21.64,16,0,0,0,3,21.64,16
339101,52,3609.21,2021,0,0,0,52,3609.21,2021
339441,57,2279.39,1297,0,0,0,57,2279.39,1297
339591,23,938.63,828,1,58.52,39,24,997.15,867
339971,20,214.32,92,0,0,0,20,214.32,92
340381,21,447.13,323,0,0,0,21,447.13,323
341351,19,249.54,121,0,0,0,19,249.54,121
341881,46,2116.49,829,0,0,0,46,2116.49,829
342851,32,735.2,288,0,0,0,32,735.2,288
343631,1,11.48,8,0,0,0,1,11.48,8
344221,7,261.47,81,11,1187.69,735,18,1449.16,816
344561,44,2343.83,1034,0,0,0,44,2343.83,1034
344941,57,1697.98,972,0,0,0,57,1697.98,972
346651,64,2376.24,1502,1,127.81,69,65,2504.05,1571
347621,25,557.56,132,0,0,0,25,557.56,132
349481,141,3991.93,2007,0,0,0,141,3991.93,2007
351771,9,63.32,51,0,0,0,9,63.32,51
352361,29,851.2,1040,0,0,0,29,851.2,1040
353331,49,2152.18,1413,0,0,0,49,2152.18,1413
